N,P,K,temperature,humidity,ph,rainfall,label
131,38,19,23.86814008,75.68339729,6.814341946,90.4547185,cotton
129,60,22,24.58453146,79.12404171,5.947448589,71.94608134,cotton
120,60,15,22.31871914,83.86129998,7.288377241,65.35747011,cotton
139,35,15,25.248679,83.4630147,5.898293044,86.55517751,cotton
7,15,32,25.03512351,95.89739958,6.182232762,174.796583,coconut
18,19,29,27.59376845,92.48519606,6.206077742,162.8432736,coconut
16,18,26,28.43647052,91.81320717,5.568365926,145.5414413,coconut
25,7,35,28.38503882,99.18843684,5.55771171,189.6711349,coconut
23,7,34,26.1055118,91.52421214,5.852038202,134.1279669,coconut
30,30,35,25.00872392,95.59224018,6.001936419,165.8092179,coconut
18,19,29,27.59376845,92.48519606,6.206077742,162.8432736,coconut
31,6,26,29.12859129,91.30924833,5.741367375,157.2388553,coconut
22,8,33,28.43572863,95.8840407,5.665785202,203.9283708,coconut
38,14,30,26.92449525,91.20106019,5.570745386,194.9022136,coconut
42,53,48,23.11407669,94.31994776,6.758479569,231.5153161,papaya
47,46,52,23.19451074,91.40301608,6.502289473,206.3999208,papaya
68,62,50,33.20258348,92.76437927,6.977700268,197.5282582,papaya
60,46,53,24.48620746,92.98254537,6.761953186,183.49095,papaya
61,51,51,39.30050027,94.16193416,6.574677594,120.9512466,papaya
69,60,54,36.32268069,93.06134398,6.98992719,141.1736926,papaya
31,48,45,40.78881819,92.90951393,6.563134737,132.7923586,papaya
38,61,52,31.22790131,94.94021378,6.620729882,46.44279118,papaya
44,56,49,39.23342464,91.25589286,6.519779583,64.4478499,papaya
53,55,55,33.32315744,91.25271223,6.709668804,234.496633,papaya
0,18,14,29.77149434,92.00719952,7.207991261,114.4161786,orange
9,8,15,14.34320488,94.35734702,7.994465371,110.2223123,orange
30,7,15,33.23453301,91.06053924,7.825531916,115.7659902,orange
24,30,11,32.39523995,94.51768464,6.601395755,113.25373,orange
37,126,196,23.59997268,90.97597665,5.596449493,107.1728191,apple
19,122,202,23.34467359,90.37981478,5.811975094,112.8954016,apple
7,144,195,22.96388477,93.58065995,5.85648105,104.6472986,apple
21,137,196,23.6119202,91.70293849,5.812781806,123.5900822,apple
7,144,197,23.8494014,94.34814995,6.133220586,114.0512495,apple
29,140,195,23.64082979,90.95257927,5.560521058,116.7431319,apple
14,139,197,21.72484506,92.83975602,6.056529526,121.6961761,apple
35,145,195,22.03911546,94.58075845,6.231950009,110.9804014,apple
21,137,196,23.6119202,91.70293849,5.812781806,123.5900822,apple
29,139,205,23.64142354,93.74461474,6.155939453,116.6912176,apple
95,7,45,27.30008597,90.80015308,6.031665834,25.09484511,muskmelon
87,14,48,29.69238699,92.58862544,6.606033244,29.1102594,muskmelon
89,9,47,29.47156259,90.77069618,6.668382766,28.75226067,muskmelon
108,22,46,26.17668721,86.7295205,6.121168559,53.33484977,watermelon
83,29,52,25.76402693,87.5931128,6.704688865,46.05122728,watermelon
81,18,50,26.80750629,88.22874955,6.429788073,58.79889057,watermelon
92,7,48,26.27520631,86.63249555,6.956508826,54.38748495,watermelon
114,8,50,24.74631269,88.30866319,6.581587932,57.95826144,watermelon
90,16,45,24.92093261,80.61750795,6.291540278,50.55710813,watermelon
85,25,47,26.11440416,87.64081095,6.29542477,58.48160844,watermelon
92,21,48,25.81692236,82.043255,6.377427122,54.82963379,watermelon
81,6,55,24.88910524,85.87059083,6.110142735,51.70699144,watermelon
103,16,49,24.06731461,81.64075303,6.915717008,51.75212401,watermelon
11,132,197,15.99050693,81.23966573,5.734317007,74.40198861,grapes
14,121,203,9.724457611,83.74765639,6.158689406,74.46411148,grapes
39,16,27,35.53845018,52.94641947,4.934964765,91.54560427,mango
11,27,30,27.69637763,48.5622488,6.39474303,89.85646496,mango
29,34,26,33.88004781,54.39416048,6.273953676,89.29147581,mango
29,34,26,33.88004781,54.39416048,6.273953676,89.29147581,mango
12,19,31,27.25373364,52.66319725,5.566704378,91.87312479,mango
5,16,31,35.96054636,48.69677802,4.555688532,98.00644238,mango
7,17,26,34.89226666,48.75613373,6.414526606,91.63074547,mango
3,28,33,30.33723921,48.88704844,5.755049971,94.42850522,mango
14,18,30,29.80747243,52.13797867,5.191265116,95.74606104,mango
21,31,32,35.38598705,51.42664176,5.254532213,90.29643888,mango
21,26,27,27.00315545,47.67525434,5.699586972,95.85118326,mango
22,17,26,28.69818144,47.71875722,4.754435025,99.642454,mango
29,34,26,33.88004781,54.39416048,6.273953676,89.29147581,mango
12,31,26,35.7877738,51.94190321,5.395275719,100.2160615,mango
23,23,27,34.72413192,51.4271781,5.161148592,97.31258083,mango
90,86,52,25.85036988,81.95580471,5.793260262,119.0856171,banana
101,70,48,25.36059237,75.03193255,6.012696655,116.5531455,banana
93,94,53,25.86632408,84.42379269,6.079178788,114.5357503,banana
109,91,53,29.66727337,83.51014178,6.010095853,110.2511102,banana
89,85,55,26.6719835,76.48541655,6.275384607,91.73358569,banana
90,86,55,27.96236771,84.15403614,5.644486582,97.55986676,banana
80,71,47,27.50527651,80.79783998,6.156373499,105.0776992,banana
86,76,54,29.3159075,80.11585705,5.926824754,90.10978128,banana
102,73,52,27.9122104,83.36307683,6.356090905,90.24211529,banana
92,81,52,27.39341554,81.4654833,6.438137279,94.31102057,banana
30,20,38,22.59890174,93.16343942,7.058222596,110.0932899,pomegranate
6,72,15,22.99451999,66.70897237,7.670178119,54.49044154,lentil
23,70,15,34.6008247,63.11296779,7.403623355,60.41790253,blackgram
37,50,23,29.65296893,88.48587386,6.5304707,56.01913159,mungbean
9,60,23,31.96987867,57.17377029,6.276004336,64.25520357,mothbeans
23,75,25,31.07508973,47.19847683,7.077170002,91.31256412,pigeonpeas
40,73,20,21.59343016,20.31871249,5.811314232,61.13872036,kidneybeans
34,76,80,20.65691793,15.84572566,7.985417393,65.23811143,chickpea
100,40,35,27.56441788,54.41094079,6.955787351,177.816092,coffee
84,36,28,26.7350622,55.55164819,6.119892347,140.6305213,coffee
111,29,31,26.05968403,52.31098539,6.136286518,161.3432535,coffee
